dataset_key	title	family	NumeroEspeciesFamilia	doi	type	sub_type	hosting_organization_key	hosting_organization_title	hosting_country	publishing_organization_key	publishing_organization_title	publishing_country	endorsing_node_key	network_keys	project_identifier	occurrence_records_count	name_usages_count
1455c58d-b4ae-4365-9538-ebfd112470c2	Listado de las especies de Disteniidae (Coleoptera: Chrysomeloidea) de Colombia	Disteniidae	37	https://doi.org/10.15472/r77dxh	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	70
d1916aac-b877-4f26-acad-8bb603a351e8	Listado de las especies de Meloidae (Coleoptera: Tenebrionoidea) de Colombia	Meloidae	30	https://doi.org/10.15472/9ixuud	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	66
ffb69841-616e-4bdf-bbee-c3e7a2cda99d	Listado de las especies de Anthribidae (Coleoptera: Curculionoidea) de Colombia	Anthribidae	34	https://doi.org/10.15472/tolans	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	63
ea8bdebd-c3a0-4768-b28a-4cfe202f8194	Listado de las especies de Phengodidae (Coleoptera: Elateroidea) de Colombia	Phengodidae	25	https://doi.org/10.15472/1bxorj	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	54
649d7ea0-b6fc-4fec-aaea-643744fd3372	Listado de las especies de Leiodidae (Coleoptera: Staphylinoidea) de Colombia	Leiodidae	26	https://doi.org/10.15472/6xhtdd	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	50
da7d3cc9-84bf-48c6-8a43-af9a1e638408	Listado de las especies de Hydraenidae (Coleoptera: Staphylinoidea) de Colombia	Hydraenidae	11	https://doi.org/10.15472/33qho2	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	47
6e7ec004-7411-450b-aad3-a050fad7aba3	Listado de las especies de Limnichidae (Coleoptera: Byrrhoidea) de Colombia	Limnichidae	23	https://doi.org/10.15472/fmeri8	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	44
b39103e8-43d9-4f8b-a6b7-cc9c42a0e15a	Listado de las especies de Cossoninae (Coleoptera: Curculionidae) de Colombia	Cossoninae	23	https://doi.org/10.15472/9mqxev	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	42
4bd8e7b0-0537-4e86-8cf9-fe7bb7bffa78	Listado de las especies de Lucanidae (Coleoptera: Scarabaeoidea) de Colombia	Lucanidae	19	https://doi.org/10.15472/p9fc2m	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	39
1ce51091-a360-455a-bee0-f52e6c612d44	Listado de las especies de Gyrinidae (Coleoptera: Adephaga) de Colombia	Gyrinidae	16	https://doi.org/10.15472/aeddqk	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	38
634b09a1-5be8-4c51-a464-2e3d61d562f3	Listado de las especies de Ptilodactylidae (Coleoptera: Byrrhoidea) de Colombia	Ptilodactylidae	20	https://doi.org/10.15472/5fywbh	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	38
edea903c-dd31-4483-ba32-d96b32dc1a62	Listado de las especies de Dermestidae (Coleoptera: Bostrichoidea) de Colombia	Dermestidae	19	https://doi.org/10.15472/pisuan	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	37
51b68934-a051-48f7-974b-feca36ef2205	Listado de las especies de Chelonariidae (Coleoptera: Byrrhoidea) de Colombia	Chelonariidae	19	https://doi.org/10.15472/kxvmlk	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	28
e7156262-6155-4077-ad50-77a4968da4be	Listado de las especies de Brachycerinae (Coleoptera: Curculionidae) de Colombia	Brachycerinae	9	https://doi.org/10.15472/suwoq6	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	22
72dbebd2-4d60-44e2-8711-ad5be0ed1532	Listado de las especies de Megalopodidae (Coleoptera: Chrysomeloidea) de Colombia	Megalopodidae	8	https://doi.org/10.15472/niicpm	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	20
119dff8b-6eb3-4285-a27d-3dadc96fab39	Listado de las especies de Dryopidae (Coleoptera: Byrrhoidea) de Colombia	Dryopidae	6	https://doi.org/10.15472/xajvg0	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	21
bb81601d-d838-4007-b863-208d588b4a3b	Listado de las especies de Mordellidae (Coleoptera: Tenebrionoidea) de Colombia	Mordellidae	8	https://doi.org/10.15472/abvxw3	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	23
d18dd2d6-0a06-4bd6-8481-5399ae74d49d	Listado de las especies de Cyclominae (Coleoptera: Curculionidae) de Colombia	Cyclominae	9	https://doi.org/10.15472/mv3ql4	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	22
04e49da0-431f-4cfb-b043-f61abae935b5	Listado de las especies de Noteridae (Coleoptera: Adephaga) de Colombia	Noteridae	8	https://doi.org/10.15472/rwfj6h	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	21
